year,tpl,date_tpl,gdd_0,GDD,date_harv,doy_harv,eu,transplant,sex,crop,rep,height_cm,weight_g,weight_0,red_all,test_0,red_p_tpl
2020,10,171,,269,7-Aug,220,386,2,f,fallow,2,135,294.04,37.47421694,37.47421694,37.47421694,
2019,10,175,,247,2-Aug,214,101,2,f,fallow,3,119,85.9,37.73106198,37.73106198,37.73106198,
2019,10,175,,247,20-Aug,232,72,2,m,fallow,1,112,85.47,38.04276912,38.04276912,38.04276912,
2019,30,195,,499,4-Sep,247,216,4,na,fallow,2,82,85.04,38.35447626,38.35447626,38.35447626,
2019,10,175,,247,15-Aug,227,70,2,m,fallow,1,148,84.94,38.42696629,38.42696629,38.42696629,
2019,0,165,0,168,15-Aug,227,17,1,m,corn,2,102,8.83,93.59913012,38.55254001,38.55254001,
2020,20,181,,373,19-Aug,232,481,3,m,fallow,4,165,287.71,38.8202522,38.8202522,38.8202522,
2020,10,171,,269,7-Aug,220,393,2,f,fallow,2,155,285.69,39.24979267,39.24979267,39.24979267,
2019,30,195,,499,4-Sep,247,199,4,na,fallow,1,73,83.43,39.52156578,39.52156578,39.52156578,
2019,30,195,,499,29-Aug,241,247,4,na,fallow,4,71,82.68,40.06524103,40.06524103,40.06524103,
2019,30,195,,499,29-Aug,241,246,4,na,fallow,4,70,82.56,40.15222907,40.15222907,40.15222907,
2020,0,161,0,189,14-Aug,227,342,1,f,narrow,1,112,15.51,96.70189466,41.04903079,41.04903079,
2019,0,165,0,168,15-Aug,227,2,1,m,corn,1,80,8.37,93.93258427,41.75365344,41.75365344,
2020,10,171,,269,14-Aug,227,387,2,f,fallow,2,152,273.89,41.75898952,41.75898952,41.75898952,
2019,0,165,0,168,23-Jul,204,13,1,m,wide,1,79,11.8,91.44617615,42.07167403,42.07167403,
2019,0,165,0,168,20-Aug,232,45,1,m,wide,3,143,11.74,91.48967017,42.36622484,42.36622484,
2020,0,161,0,189,19-Aug,232,360,1,m,corn,3,92,8.36,98.22229783,42.50343879,42.50343879,
2020,10,171,,269,19-Aug,232,401,2,f,corn,3,99,8.35,98.22442427,42.57221458,42.57221458,
2019,10,175,,247,15-Aug,227,71,2,m,fallow,1,112,78.95,42.76911925,42.76911925,42.76911925,
2020,0,161,0,189,14-Aug,227,368,1,m,corn,2,91,8.01,98.29672316,44.91059147,44.91059147,
2019,30,195,,499,29-Aug,241,245,4,na,fallow,4,62,74.98,45.64697354,45.64697354,45.64697354,
2019,20,185,,379,27-Aug,239,152,3,m,fallow,2,106,74.76,45.80645161,45.80645161,45.80645161,
2019,30,195,,499,4-Sep,247,197,4,na,fallow,1,75,74.47,46.01667271,46.01667271,46.01667271,
2019,0,165,0,168,29-Jul,210,30,1,F,wide,2,104,10.9,92.09858644,46.48993618,46.48993618,
2020,0,161,0,189,30-Jul,212,374,1,m,wide,3,119,32.46,93.09758224,46.7694326,46.7694326,
2020,0,161,0,189,30-Jul,212,339,1,f,wide,1,76,32.38,93.11459374,46.90062316,46.90062316,
2019,20,185,,379,27-Aug,239,151,3,m,fallow,2,103,73.16,46.96629213,46.96629213,46.96629213,
2019,10,175,,247,15-Aug,227,117,2,m,fallow,4,180,72.74,47.27075027,47.27075027,47.27075027,
2020,10,171,,269,19-Aug,232,429,2,m,corn,1,91,7.66,98.37114849,47.31774415,47.31774415,
2019,20,185,,379,27-Aug,239,184,3,f,fallow,4,105,72.6,47.37223632,47.37223632,47.37223632,
2020,10,171,,269,14-Aug,227,411,2,f,narrow,1,133,13.83,97.05913624,47.43443558,47.43443558,
2020,0,161,0,189,30-Jul,212,340,1,f,wide,3,78,31.99,93.19752483,47.54017711,47.54017711,
2019,30,195,,499,4-Sep,247,214,4,na,fallow,2,78,72.06,47.76368249,47.76368249,47.76368249,
2019,10,175,,247,2-Aug,214,109,2,m,wide,3,111,10.63,92.29430953,47.81541483,47.81541483,
2019,20,185,,379,27-Aug,239,149,3,m,fallow,2,110,71.94,47.85067053,47.85067053,47.85067053,
2020,40,201,,636,1-Sep,245,597,5,m,fallow,4,145,244.04,48.10640696,48.10640696,48.10640696,
2019,0,165,0,168,15-Aug,227,49,1,m,corn,4,109,7.42,94.62123958,48.36464857,48.36464857,
2019,30,195,,499,4-Sep,247,213,4,na,fallow,2,65,71.19,48.39434578,48.39434578,48.39434578,
2019,0,165,0,168,15-Aug,227,1,1,f,corn,1,56,7.37,94.6574846,48.71259569,48.71259569,
2020,30,191,,517,1-Sep,245,533,4,m,fallow,4,185,239.85,48.99738448,48.99738448,48.99738448,
2019,20,185,,379,27-Aug,239,136,3,f,fallow,1,98,70.1,49.18448713,49.18448713,49.18448713,
2019,20,185,,379,27-Aug,239,167,3,m,fallow,3,100,70.04,49.22798115,49.22798115,49.22798115,
2020,10,171,,269,19-Aug,232,428,2,m,corn,4,93,7.38,98.43068875,49.2434663,49.2434663,
2019,30,195,,499,4-Sep,247,229,4,na,fallow,3,61,69.94,49.30047119,49.30047119,49.30047119,
2019,20,185,,379,27-Aug,239,166,3,m,fallow,3,109,69.86,49.35846321,49.35846321,49.35846321,
2019,30,195,,499,29-Aug,241,248,4,na,fallow,4,60,69.82,49.38745922,49.38745922,49.38745922,
2020,0,161,0,189,30-Jul,212,373,1,m,wide,2,130,30.48,93.51861696,50.01639882,50.01639882,
2019,20,185,,379,27-Aug,239,134,3,m,fallow,1,99,68.17,50.58354476,50.58354476,50.58354476,
2019,20,185,,379,15-Aug,227,181,3,m,fallow,4,52,68.16,50.59079377,50.59079377,50.59079377,
2020,0,161,0,189,30-Jul,212,334,1,f,wide,1,92,30.04,93.61218024,50.73794687,50.73794687,
2020,30,191,,517,1-Sep,245,514,4,f,fallow,4,185,231.18,50.84100623,50.84100623,50.84100623,
2019,20,185,,379,15-Aug,227,133,3,m,fallow,1,52,67.7,50.92424792,50.92424792,50.92424792,
2019,20,185,,379,27-Aug,239,168,3,m,fallow,3,109,67.35,51.17796303,51.17796303,51.17796303,
2020,0,161,0,189,31-Jul,213,359,1,m,fallow,4,137,228.11,51.4938227,51.4938227,51.4938227,
2020,20,181,,373,1-Sep,245,464,3,f,corn,2,130,7.04,98.50298765,51.58184319,51.58184319,
2019,30,195,,499,4-Sep,247,198,4,na,fallow,1,70,66.17,52.03334542,52.03334542,52.03334542,
2019,20,185,,379,29-Aug,241,183,3,m,fallow,4,103,65.83,52.27981153,52.27981153,52.27981153,
2019,20,185,,379,27-Aug,239,135,3,m,fallow,1,101,65.83,52.27981153,52.27981153,52.27981153,
2020,0,161,0,189,7-Aug,220,353,1,m,fallow,3,147,224.07,52.35290365,52.35290365,52.35290365,
2019,10,175,,247,15-Aug,227,102,2,m,fallow,3,142,65.53,52.49728162,52.49728162,52.49728162,
2020,10,171,,269,1-Sep,245,399,2,f,corn,2,79,6.88,98.53701065,52.68225585,52.68225585,
2020,0,161,0,189,19-Aug,232,379,1,m,narrow,3,119,12.34,97.3759755,53.09768149,53.09768149,
2019,30,195,,499,4-Sep,247,200,4,na,fallow,1,76,64.67,53.1206959,53.1206959,53.1206959,
2020,0,161,0,189,30-Jul,212,338,1,f,wide,1,81,28.35,93.97154826,53.50934733,53.50934733,
2019,30,195,,499,4-Sep,247,232,4,na,fallow,3,62,63.91,53.67162015,53.67162015,53.67162015,
2020,0,161,0,189,27-Jul,209,384,1,m,narrow,,127,12.13,97.4206307,53.89585709,53.89585709,
2020,0,161,0,189,30-Jul,212,372,1,m,wide,2,147,27.89,94.06936441,54.26369301,54.26369301,
2019,10,175,,247,15-Aug,227,120,2,m,fallow,4,162,61.31,55.556361,55.556361,55.556361,
2020,30,191,,517,1-Sep,245,515,4,f,fallow,1,99,207.81,55.81049185,55.81049185,55.81049185,
2020,0,161,0,189,30-Jul,212,376,1,m,wide,4,135,26.88,94.28413465,55.91997376,55.91997376,
2020,10,171,,269,19-Aug,232,403,2,f,corn,4,125,6.4,98.63907968,55.98349381,55.98349381,
2019,10,175,,247,20-Aug,232,88,2,m,fallow,2,125,59.28,57.02790866,57.02790866,57.02790866,
2020,20,181,,373,14-Aug,227,451,3,f,fallow,2,130,202.07,57.03106726,57.03106726,57.03106726,
2020,0,161,0,189,19-Aug,232,382,1,m,narrow,4,107,11.29,97.59925149,57.08855948,57.08855948,
2020,10,171,,269,14-Aug,227,407,2,f,wide,2,155,25.95,94.48189338,57.44506396,57.44506396,
2020,10,171,,269,30-Jul,212,436,2,m,wide,4,119,25.38,94.60310035,58.37979665,58.37979665,
2020,0,161,0,189,30-Jul,212,378,1,m,wide,1,72,25.13,94.6562613,58.78976714,58.78976714,
2019,0,165,0,168,29-Jul,210,14,1,m,wide,1,91,8.3,93.98332729,59.25380461,59.25380461,
2020,10,171,,269,14-Aug,227,412,2,f,narrow,1,115,10.68,97.72896421,59.40706956,59.40706956,
2020,0,161,0,189,30-Jul,212,322,1,f,fallow,1,136,190.45,59.50198822,59.50198822,59.50198822,
2019,0,165,0,168,23-Jul,204,54,1,m,fallow,4,73,55.4,59.84052193,59.84052193,59.84052193,
2019,0,165,0,168,15-Aug,227,15,1,m,wide,1,98,8.11,94.12105835,60.18654885,60.18654885,
2020,10,171,,269,14-Aug,227,404,2,f,wide,1,181,24.12,94.87103154,60.44604788,60.44604788,
2020,10,171,,269,14-Aug,227,405,2,f,wide,1,170,24.1,94.87528441,60.47884552,60.47884552,
2020,10,171,,269,30-Jul,212,437,2,m,narrow,4,117,10.38,97.79275735,60.54732041,60.54732041,
2020,0,161,0,189,7-Aug,220,324,1,f,fallow,2,109,182.88,61.11170179,61.11170179,61.11170179,
2020,0,161,0,189,14-Aug,227,345,1,f,narrow,2,105,10.15,97.84166543,61.42151273,61.42151273,
2019,20,185,,379,29-Aug,241,182,3,m,fallow,4,100,52.12,62.218195,62.218195,62.218195,
2020,0,161,0,189,19-Aug,232,361,1,m,corn,3,135,5.44,98.84321773,62.58596974,62.58596974,
2020,0,161,0,189,7-Aug,220,327,1,f,fallow,3,124,175.13,62.75969124,62.75969124,62.75969124,
2020,30,191,,517,19-Aug,232,516,4,f,fallow,3,104,174.91,62.80647288,62.80647288,62.80647288,
2020,10,171,,269,14-Aug,227,388,2,f,fallow,2,188,174.1,62.97871436,62.97871436,62.97871436,
2020,10,171,,269,27-Jul,209,430,2,m,wide,1,147,22.56,95.20275586,63.00426369,63.00426369,
2020,0,161,0,189,14-Aug,227,326,1,f,fallow,2,148,173.42,63.12331214,63.12331214,63.12331214,
2020,10,171,,269,30-Jul,212,448,2,m,narrow,2,101,9.65,97.94798733,63.32193082,63.32193082,
2020,30,191,,517,1-Sep,245,517,4,f,fallow,1,123,172.46,63.32745019,63.32745019,63.32745019,
2019,0,165,0,168,15-Aug,227,23,1,m,fallow,2,133,50.41,63.45777456,63.45777456,63.45777456,
2019,10,175,,247,20-Aug,232,87,2,m,fallow,2,146,48.42,64.90032621,64.90032621,64.90032621,
2019,10,175,,247,20-Aug,232,107,2,m,narrow,3,43,3.2,97.68031896,65.0273224,65.0273224,
2020,10,171,,269,19-Aug,232,425,2,m,corn,3,117,5.01,98.93465456,65.54332875,65.54332875,
2020,20,181,,373,1-Sep,245,465,3,f,corn,2,94,4.98,98.94103387,65.74965612,65.74965612,
2020,10,171,,269,14-Aug,227,413,2,f,narrow,2,108,8.98,98.09045867,65.86849107,65.86849107,
2019,10,175,,247,15-Aug,227,118,2,m,fallow,4,173,46.31,66.42986589,66.42986589,66.42986589,
2020,10,171,,269,1-Sep,245,398,2,f,corn,2,76,4.87,98.96442469,66.50618982,66.50618982,
2019,30,195,,499,4-Sep,247,215,4,na,fallow,2,61,46.02,66.64008699,66.64008699,66.64008699,
2020,10,171,,269,19-Aug,232,414,2,f,wide,3,180,20.21,95.70246879,66.85798622,66.85798622,
2020,10,171,,269,30-Jul,212,447,2,f,narrow,2,105,8.59,98.17338975,67.35081718,67.35081718,
2020,10,171,,269,19-Aug,232,427,2,m,corn,4,87,4.73,98.99419482,67.46905089,67.46905089,
2020,30,191,,517,27-Aug,240,518,4,f,fallow,1,132,151.9,67.69940672,67.69940672,67.69940672,
2020,20,181,,373,19-Aug,232,482,3,m,fallow,4,171,140.18,70.19159206,70.19159206,70.19159206,
2020,0,161,0,189,30-Jul,212,371,1,m,wide,2,82,18.15,96.14051502,70.236143,70.236143,
2020,10,171,,269,19-Aug,232,434,2,m,wide,4,155,17.94,96.18517022,70.5805182,70.5805182,
2020,20,181,,373,30-Jul,212,483,3,m,fallow,3,165,138.28,70.59561528,70.59561528,70.59561528,
2019,40,205,,632,4-Sep,247,280,5,na,fallow,2,46,40.1,70.93149692,70.93149692,70.93149692,
2020,0,161,0,189,7-Aug,220,352,1,m,fallow,1,102,131.77,71.97992643,71.97992643,71.97992643,
2020,30,191,,517,19-Aug,232,534,4,m,fallow,3,84,131.45,72.04797244,72.04797244,72.04797244,
2020,10,171,,269,19-Aug,232,431,2,m,wide,2,144,16.87,96.41269909,72.33519187,72.33519187,
2020,0,161,0,189,7-Aug,220,325,1,f,fallow,2,128,130.03,72.34992664,72.34992664,72.34992664,
2020,0,161,0,189,30-Jul,212,375,1,m,wide,4,77,16.18,96.55942331,73.4667104,73.4667104,
2020,0,161,0,189,7-Aug,220,321,1,f,fallow,1,119,123.22,73.79803092,73.79803092,73.79803092,
2019,10,175,,247,20-Aug,232,85,2,f,fallow,2,152,35.92,73.96158028,73.96158028,73.96158028,
2019,0,165,0,168,23-Jul,204,36,1,m,fallow,3,61,35.9,73.97607829,73.97607829,73.97607829,
2019,30,195,,499,4-Sep,247,230,4,na,fallow,3,65,35.25,74.4472635,74.4472635,74.4472635,
2019,40,205,,632,29-Aug,241,293,5,na,fallow,3,48,34.17,75.23015585,75.23015585,75.23015585,
2019,40,205,,632,4-Sep,247,262,5,na,fallow,1,55,34.16,75.23740486,75.23740486,75.23740486,
2019,0,165,0,168,20-Aug,232,64,1,m,wide,4,138,5.02,96.36100036,75.35591556,75.35591556,
2020,20,181,,373,30-Jul,212,492,3,m,corn,3,76,3.57,99.24086163,75.44704264,75.44704264,
2019,0,165,0,168,29-Jul,210,37,1,m,fallow,3,75,33.5,75.71583907,75.71583907,75.71583907,
